Data Venda;Canal de Venda;Local de Venda;PAX;Monetário Vendido;RPK
03/11/16;TeleVenda;Ellipsis;196;R$ 11.203,45;12031
03/11/16;TeleVenda;Vast;1590;R$ 42.061,29;73115
03/11/16;Porta a Porta;Ellipsis;907;R$ 25.287,19;50452
03/11/16;TeleVenda;Mindscape;1323;R$ 53.584,29;161499
03/11/16;TeleVenda;Vast;241;R$ 13.937,55;11363
03/11/16;TeleVenda;Arena;225;R$ 15.123,17;35136
03/11/16;Porta a Porta;Vast;1236;R$ 28.653,79;54957
03/11/16;TeleVenda;Ellipsis;1290;R$ 38.648,56;72082
04/11/16;TeleVenda;Arena;230;R$ 17.169,35;35959
04/11/16;Telégrafo;Mindscape;63;R$ 4.058,28;7881
04/11/16;TeleVenda;Mindscape;1386;R$ 56.763,13;167333
04/11/16;Telégrafo;Ellipsis;53;R$ 3.053,80;3069
04/11/16;TeleVenda;Ellipsis;1323;R$ 40.750,15;71350
04/11/16;Porta a Porta;Mindscape;775;R$ 32.887,88;91049
04/11/16;Porta a Porta;Arena;811;R$ 41.946,07;111228
04/11/16;Porta a Porta;Vast;1276;R$ 29.869,22;57466
04/11/16;Telégrafo;Vast;69;R$ 3.246,93;3101
04/11/16;TeleVenda;Ellipsis;201;R$ 11.849,65;12260
04/11/16;TeleVenda;Mindscape;112;R$ 8.420,15;13803
04/11/16;Telégrafo;Arena;96;R$ 6.177,17;13854
04/11/16;TeleVenda;Vast;268;R$ 16.008,92;12726
04/11/16;TeleVenda;Vast;1821;R$ 49.891,14;85367
04/11/16;Porta a Porta;Ellipsis;801;R$ 24.685,48;44913
04/11/16;TeleVenda;Arena;1685;R$ 76.421,73;236866
05/11/16;TeleVenda;Mindscape;1378;R$ 60.813,49;164710
05/11/16;Telégrafo;Ellipsis;42;R$ 2.695,44;2399
05/11/16;TeleVenda;Arena;206;R$ 15.726,53;32153
05/11/16;Porta a Porta;Vast;1314;R$ 30.005,76;61962
05/11/16;Porta a Porta;Mindscape;877;R$ 34.594,72;98153
05/11/16;TeleVenda;Vast;248;R$ 17.884,15;11969
05/11/16;TeleVenda;Vast;1759;R$ 51.527,72;83545
05/11/16;Porta a Porta;Arena;1054;R$ 51.639,88;148127
05/11/16;Telégrafo;Mindscape;75;R$ 6.437,64;10241
05/11/16;TeleVenda;Ellipsis;1294;R$ 42.059,42;71453
05/11/16;TeleVenda;Mindscape;111;R$ 8.197,12;13306
05/11/16;Porta a Porta;Ellipsis;840;R$ 25.932,48;45562
05/11/16;TeleVenda;Ellipsis;205;R$ 14.217,04;12101
05/11/16;Telégrafo;Arena;132;R$ 8.209,86;19013
05/11/16;Telégrafo;Vast;72;R$ 3.545,32;3173
05/11/16;TeleVenda;Arena;1993;R$ 90.636,16;291898
06/11/16;TeleVenda;Arena;185;R$ 14.537,45;28811
06/11/16;Porta a Porta;Arena;1078;R$ 50.722,96;147535
06/11/16;TeleVenda;Ellipsis;215;R$ 14.133,68;12652
06/11/16;TeleVenda;Mindscape;114;R$ 8.143,06;14202
06/11/16;Telégrafo;Vast;75;R$ 2.130,13;3582
06/11/16;TeleVenda;Vast;255;R$ 16.764,30;12395
06/11/16;TeleVenda;Arena;2290;R$ 95.390,18;331083
06/11/16;Porta a Porta;Mindscape;856;R$ 32.680,60;96071
06/11/16;Porta a Porta;Ellipsis;699;R$ 22.611,63;38550
06/11/16;TeleVenda;Mindscape;1515;R$ 61.535,42;182888
06/11/16;TeleVenda;Ellipsis;1401;R$ 44.342,98;76503
06/11/16;TeleVenda;Vast;2179;R$ 58.268,05;102935
06/11/16;Porta a Porta;Vast;1544;R$ 32.765,60;71257
06/11/16;Telégrafo;Arena;147;R$ 8.161,74;20813
06/11/16;Telégrafo;Mindscape;76;R$ 4.509,80;9915
06/11/16;Telégrafo;Ellipsis;41;R$ 2.275,63;2279
07/11/16;Porta a Porta;Ellipsis;789;R$ 18.990,19;40435
07/11/16;Telégrafo;Ellipsis;45;R$ 2.362,89;2497
07/11/16;TeleVenda;Mindscape;1089;R$ 29.280,85;126746
07/11/16;TeleVenda;Ellipsis;98;R$ 6.563,82;5989
07/11/16;TeleVenda;Ellipsis;922;R$ 18.649,58;50304
07/11/16;TeleVenda;Arena;1575;R$ 53.439,33;223780
07/11/16;TeleVenda;Vast;123;R$ 7.356,47;5534
07/11/16;Telégrafo;Arena;111;R$ 6.065,22;16174
07/11/16;TeleVenda;Arena;127;R$ 9.039,85;19729
07/11/16;TeleVenda;Vast;1559;R$ 24.081,23;69526
07/11/16;Porta a Porta;Mindscape;985;R$ 29.328,05;105345
07/11/16;Porta a Porta;Vast;1909;R$ 29.333,07;81306
07/11/16;Telégrafo;Vast;77;R$ 2.983,03;3480
07/11/16;Telégrafo;Mindscape;71;R$ 4.813,18;9316
07/11/16;Porta a Porta;Arena;1084;R$ 42.420,19;144695
07/11/16;TeleVenda;Mindscape;55;R$ 3.426,45;6527
08/11/16;TeleVenda;Arena;116;R$ 8.553,28;18264
08/11/16;Porta a Porta;Arena;887;R$ 38.652,40;119256
08/11/16;Telégrafo;Vast;82;R$ 3.999,99;3261
08/11/16;Telégrafo;Mindscape;53;R$ 4.153,55;6129
08/11/16;TeleVenda;Ellipsis;78;R$ 4.488,51;4756
08/11/16;Porta a Porta;Ellipsis;950;R$ 21.667,45;48504
08/11/16;Telégrafo;Ellipsis;38;R$ 2.770,90;2160
08/11/16;Telégrafo;Arena;64;R$ 4.243,91;9350
08/11/16;TeleVenda;Vast;1434;R$ 22.231,83;62666
08/11/16;Porta a Porta;Mindscape;1118;R$ 31.953,30;113157
08/11/16;TeleVenda;Mindscape;45;R$ 2.433,65;5716
08/11/16;TeleVenda;Ellipsis;935;R$ 18.316,17;50592
08/11/16;TeleVenda;Vast;108;R$ 6.365,22;4713
08/11/16;Porta a Porta;Vast;1962;R$ 30.148,74;82711
08/11/16;TeleVenda;Arena;1047;R$ 35.798,39;150298
08/11/16;TeleVenda;Mindscape;959;R$ 23.904,56;105206
09/11/16;TeleVenda;Ellipsis;253;R$ 17.132,76;15026
09/11/16;TeleVenda;Arena;2360;R$ 97.762,36;341223
09/11/16;Telégrafo;Mindscape;86;R$ 6.229,68;11035
09/11/16;Telégrafo;Arena;160;R$ 9.530,37;23887
09/11/16;Porta a Porta;Arena;1342;R$ 64.295,62;182970
09/11/16;TeleVenda;Vast;2065;R$ 58.459,13;96792
09/11/16;Telégrafo;Vast;80;R$ 5.029,36;3608
09/11/16;TeleVenda;Arena;232;R$ 17.080,01;36306
09/11/16;Porta a Porta;Vast;1705;R$ 35.602,08;76454
09/11/16;Porta a Porta;Ellipsis;965;R$ 29.259,19;52417
09/11/16;Porta a Porta;Mindscape;1129;R$ 39.473,14;121548
09/11/16;Telégrafo;Ellipsis;58;R$ 3.338,97;3277
09/11/16;TeleVenda;Ellipsis;1455;R$ 43.312,64;79195
09/11/16;TeleVenda;Mindscape;1578;R$ 58.909,83;185345
09/11/16;TeleVenda;Mindscape;121;R$ 8.672,94;14045
09/11/16;TeleVenda;Vast;282;R$ 18.923,29;13614
10/11/16;TeleVenda;Ellipsis;1461;R$ 45.530,98;81241
10/11/16;TeleVenda;Arena;232;R$ 17.700,73;36697
10/11/16;Telégrafo;Mindscape;86;R$ 6.299,63;10641
10/11/16;Porta a Porta;Vast;1350;R$ 32.550,35;64496
10/11/16;TeleVenda;Arena;2338;R$ 95.902,89;336268
10/11/16;Porta a Porta;Mindscape;902;R$ 35.025,66;100470
10/11/16;TeleVenda;Mindscape;124;R$ 8.177,83;15080
10/11/16;TeleVenda;Mindscape;1532;R$ 60.222,30;183632
10/11/16;Porta a Porta;Arena;1216;R$ 60.306,42;167000
10/11/16;Telégrafo;Arena;158;R$ 9.463,63;22413
10/11/16;TeleVenda;Vast;2102;R$ 61.561,53;100813
10/11/16;Porta a Porta;Ellipsis;825;R$ 26.496,27;44790
10/11/16;Telégrafo;Vast;76;R$ 4.410,61;3442
10/11/16;TeleVenda;Ellipsis;249;R$ 16.759,85;15273
10/11/16;TeleVenda;Vast;308;R$ 20.399,13;14875
10/11/16;Telégrafo;Ellipsis;60;R$ 3.440,22;3376
11/11/16;TeleVenda;Mindscape;128;R$ 8.144,11;15039
11/11/16;TeleVenda;Vast;312;R$ 20.493,03;15216
11/11/16;TeleVenda;Ellipsis;1558;R$ 48.157,46;83891
11/11/16;TeleVenda;Arena;2441;R$ 101.658,40;359217
11/11/16;Porta a Porta;Arena;1268;R$ 61.866,89;177659
11/11/16;Telégrafo;Mindscape;69;R$ 5.562,78;8670
11/11/16;Telégrafo;Arena;136;R$ 8.697,78;19344
11/11/16;Porta a Porta;Ellipsis;855;R$ 26.170,84;45167
11/11/16;Porta a Porta;Vast;1428;R$ 35.388,45;67349
11/11/16;TeleVenda;Mindscape;1612;R$ 60.747,87;191879
11/11/16;TeleVenda;Ellipsis;265;R$ 16.231,60;15308
11/11/16;TeleVenda;Vast;2100;R$ 63.299,93;101117
11/11/16;Telégrafo;Ellipsis;71;R$ 5.711,63;4089
11/11/16;Telégrafo;Vast;72;R$ 3.668,79;3526
11/11/16;Porta a Porta;Mindscape;953;R$ 36.067,77;109468
11/11/16;TeleVenda;Arena;278;R$ 21.455,08;44593
12/11/16;TeleVenda;Mindscape;1606;R$ 60.705,18;189865
12/11/16;Telégrafo;Mindscape;73;R$ 7.253,65;10161
12/11/16;TeleVenda;Arena;256;R$ 19.874,52;39827
12/11/16;TeleVenda;Vast;1984;R$ 58.856,03;93346
12/11/16;Porta a Porta;Vast;1171;R$ 29.927,49;54801
12/11/16;Porta a Porta;Arena;1138;R$ 56.961,83;160168
12/11/16;TeleVenda;Arena;2172;R$ 91.224,12;323533
12/11/16;TeleVenda;Mindscape;99;R$ 6.727,71;12270
12/11/16;TeleVenda;Ellipsis;1567;R$ 46.522,97;86302
12/11/16;Telégrafo;Ellipsis;56;R$ 3.469,97;3249
12/11/16;Porta a Porta;Ellipsis;868;R$ 26.484,68;46136
12/11/16;Porta a Porta;Mindscape;950;R$ 34.612,75;105103
12/11/16;TeleVenda;Vast;298;R$ 19.448,30;14679
12/11/16;TeleVenda;Ellipsis;241;R$ 16.723,82;15109
12/11/16;Telégrafo;Vast;65;R$ 3.042,85;3035
12/11/16;Telégrafo;Arena;113;R$ 6.197,04;16188
13/11/16;Telégrafo;Ellipsis;54;R$ 3.924,75;3498
13/11/16;TeleVenda;Mindscape;1653;R$ 64.793,51;206361
13/11/16;Porta a Porta;Vast;1347;R$ 30.538,21;63529
13/11/16;Porta a Porta;Arena;1509;R$ 66.077,63;223480
13/11/16;TeleVenda;Mindscape;110;R$ 7.931,77;14475
13/11/16;TeleVenda;Arena;2478;R$ 100.016,04;371331
13/11/16;Telégrafo;Vast;49;R$ 1.984,84;2328
13/11/16;TeleVenda;Vast;299;R$ 20.202,74;14597
13/11/16;TeleVenda;Ellipsis;1555;R$ 47.833,53;86378
13/11/16;TeleVenda;Ellipsis;214;R$ 13.826,94;12752
13/11/16;Telégrafo;Arena;136;R$ 8.609,24;20272
13/11/16;Porta a Porta;Ellipsis;888;R$ 26.417,38;49348
13/11/16;TeleVenda;Arena;227;R$ 16.827,48;34505
13/11/16;Porta a Porta;Mindscape;1130;R$ 38.127,72;139101
13/11/16;TeleVenda;Vast;2008;R$ 61.764,23;96652
13/11/16;Telégrafo;Mindscape;55;R$ 3.347,45;7531
14/11/16;TeleVenda;Mindscape;60;R$ 3.871,14;7664
14/11/16;TeleVenda;Ellipsis;102;R$ 6.172,88;6192
14/11/16;Telégrafo;Vast;76;R$ 1.805,59;3694
14/11/16;Porta a Porta;Arena;4505;R$ 144.890,73;668991
14/11/16;TeleVenda;Vast;2112;R$ 31.691,01;103877
14/11/16;Porta a Porta;Vast;3186;R$ 48.086,04;155810
14/11/16;Telégrafo;Mindscape;89;R$ 3.210,40;11895
14/11/16;TeleVenda;Vast;117;R$ 6.165,50;5501
14/11/16;TeleVenda;Arena;3659;R$ 107.719,14;548968
14/11/16;Telégrafo;Arena;209;R$ 9.267,30;33075
14/11/16;TeleVenda;Mindscape;2702;R$ 61.402,70;350317
14/11/16;Porta a Porta;Mindscape;3961;R$ 94.836,67;518526
14/11/16;TeleVenda;Ellipsis;1586;R$ 29.257,42;96889
14/11/16;Porta a Porta;Ellipsis;2012;R$ 41.089,21;120736
14/11/16;TeleVenda;Arena;117;R$ 7.909,88;18182
14/11/16;Telégrafo;Ellipsis;58;R$ 2.722,68;3416
15/11/16;Porta a Porta;Vast;2828;R$ 43.726,00;136985
15/11/16;Porta a Porta;Arena;2741;R$ 92.805,75;389144
15/11/16;Telégrafo;Ellipsis;63;R$ 2.322,85;3402
15/11/16;TeleVenda;Mindscape;1191;R$ 29.432,03;147303
15/11/16;Porta a Porta;Mindscape;2827;R$ 69.098,47;346400
15/11/16;TeleVenda;Arena;93;R$ 5.566,43;14138
15/11/16;Telégrafo;Vast;76;R$ 2.036,61;3764
15/11/16;Telégrafo;Arena;115;R$ 5.290,17;17150
15/11/16;Porta a Porta;Ellipsis;1815;R$ 38.472,51;105458
15/11/16;TeleVenda;Vast;1217;R$ 20.039,63;58465
15/11/16;Telégrafo;Mindscape;79;R$ 4.338,61;10307
15/11/16;TeleVenda;Arena;1468;R$ 49.035,01;212796
15/11/16;TeleVenda;Ellipsis;85;R$ 4.341,83;5521
15/11/16;TeleVenda;Ellipsis;863;R$ 18.608,27;50668
15/11/16;TeleVenda;Mindscape;43;R$ 2.454,22;5657
15/11/16;TeleVenda;Vast;93;R$ 5.162,10;4249
16/11/16;TeleVenda;Arena;210;R$ 15.947,97;32273
16/11/16;Porta a Porta;Mindscape;1676;R$ 51.153,07;195315
16/11/16;TeleVenda;Arena;2155;R$ 86.479,00;315391
16/11/16;TeleVenda;Mindscape;121;R$ 7.732,98;14286
16/11/16;TeleVenda;Ellipsis;247;R$ 15.280,57;14949
16/11/16;TeleVenda;Vast;2165;R$ 60.960,40;100796
16/11/16;Porta a Porta;Ellipsis;1365;R$ 36.204,49;75782
16/11/16;Porta a Porta;Arena;1553;R$ 66.170,58;216804
16/11/16;Telégrafo;Ellipsis;56;R$ 3.195,13;3163
16/11/16;TeleVenda;Mindscape;1740;R$ 63.266,99;209956
16/11/16;Porta a Porta;Vast;1942;R$ 41.025,52;90318
16/11/16;Telégrafo;Mindscape;78;R$ 5.181,50;10875
16/11/16;TeleVenda;Vast;283;R$ 19.049,41;13886
16/11/16;TeleVenda;Ellipsis;1689;R$ 50.018,86;92711
16/11/16;Telégrafo;Vast;68;R$ 2.970,48;3245
16/11/16;Telégrafo;Arena;123;R$ 7.525,22;17618
17/11/16;TeleVenda;Vast;306;R$ 19.390,84;15126
17/11/16;TeleVenda;Ellipsis;226;R$ 13.867,32;14221
17/11/16;TeleVenda;Ellipsis;1438;R$ 45.903,64;78140
17/11/16;TeleVenda;Arena;220;R$ 16.152,64;33687
17/11/16;TeleVenda;Mindscape;1355;R$ 56.693,57;160088
17/11/16;Telégrafo;Mindscape;74;R$ 6.215,41;10014
17/11/16;Porta a Porta;Ellipsis;788;R$ 25.625,77;42426
17/11/16;TeleVenda;Vast;1746;R$ 57.130,70;80399
17/11/16;Telégrafo;Vast;78;R$ 3.510,90;3633
17/11/16;Porta a Porta;Mindscape;823;R$ 32.150,70;92382
17/11/16;Porta a Porta;Vast;1075;R$ 28.089,08;48798
17/11/16;TeleVenda;Arena;1829;R$ 80.150,64;268017
17/11/16;Telégrafo;Ellipsis;49;R$ 3.712,02;2671
17/11/16;TeleVenda;Mindscape;122;R$ 8.420,57;14612
17/11/16;Telégrafo;Arena;114;R$ 9.036,99;16153
17/11/16;Porta a Porta;Arena;984;R$ 50.751,50;137470
18/11/16;TeleVenda;Arena;1770;R$ 78.447,14;260440
18/11/16;TeleVenda;Ellipsis;247;R$ 14.083,81;15029
18/11/16;TeleVenda;Mindscape;139;R$ 9.139,10;16391
18/11/16;Porta a Porta;Vast;979;R$ 25.471,94;43189
18/11/16;Telégrafo;Vast;59;R$ 3.092,17;2865
18/11/16;Telégrafo;Arena;90;R$ 6.831,58;12166
18/11/16;Telégrafo;Ellipsis;38;R$ 1.940,02;2197
18/11/16;TeleVenda;Vast;1716;R$ 55.305,95;79380
18/11/16;TeleVenda;Mindscape;1361;R$ 57.860,70;161418
18/11/16;Porta a Porta;Arena;963;R$ 49.016,94;137251
18/11/16;TeleVenda;Arena;220;R$ 16.797,46;34601
18/11/16;Porta a Porta;Mindscape;767;R$ 30.559,27;85154
18/11/16;TeleVenda;Ellipsis;1467;R$ 46.503,25;81115
18/11/16;TeleVenda;Vast;309;R$ 21.820,20;14705
18/11/16;Porta a Porta;Ellipsis;804;R$ 25.086,68;43226
18/11/16;Telégrafo;Mindscape;77;R$ 6.861,64;9220
19/11/16;Porta a Porta;Arena;918;R$ 45.321,43;128854
19/11/16;Telégrafo;Vast;56;R$ 3.387,80;2649
19/11/16;Porta a Porta;Ellipsis;849;R$ 26.639,99;46102
19/11/16;TeleVenda;Mindscape;110;R$ 7.259,51;13542
19/11/16;TeleVenda;Arena;1746;R$ 76.719,08;258997
19/11/16;TeleVenda;Mindscape;1439;R$ 59.515,32;172453
19/11/16;TeleVenda;Arena;204;R$ 15.872,49;30712
19/11/16;Telégrafo;Ellipsis;51;R$ 3.578,72;3081
19/11/16;Telégrafo;Arena;110;R$ 7.708,60;15693
19/11/16;Telégrafo;Mindscape;77;R$ 6.913,06;9546
19/11/16;TeleVenda;Vast;291;R$ 18.025,51;14107
19/11/16;Porta a Porta;Mindscape;757;R$ 29.434,24;83513
19/11/16;TeleVenda;Ellipsis;1472;R$ 46.202,77;81161
19/11/16;TeleVenda;Vast;1742;R$ 57.035,69;81947
19/11/16;TeleVenda;Ellipsis;225;R$ 12.442,76;13786
19/11/16;Porta a Porta;Vast;914;R$ 23.763,22;42290
20/11/16;Porta a Porta;Vast;915;R$ 25.295,25;43519
20/11/16;TeleVenda;Mindscape;101;R$ 6.827,17;11538
20/11/16;Telégrafo;Ellipsis;41;R$ 2.750,75;2189
20/11/16;TeleVenda;Arena;197;R$ 15.001,10;29998
20/11/16;TeleVenda;Vast;1636;R$ 53.139,73;78861
20/11/16;Porta a Porta;Mindscape;662;R$ 27.434,39;75355
20/11/16;TeleVenda;Mindscape;1286;R$ 57.059,16;153890
20/11/16;Porta a Porta;Arena;794;R$ 39.823,59;111929
20/11/16;TeleVenda;Arena;1611;R$ 70.031,23;236914
20/11/16;Telégrafo;Vast;52;R$ 2.414,30;2366
20/11/16;TeleVenda;Vast;281;R$ 18.297,55;13651
20/11/16;Telégrafo;Arena;86;R$ 5.160,31;12348
20/11/16;TeleVenda;Ellipsis;1282;R$ 40.976,18;70555
20/11/16;TeleVenda;Ellipsis;222;R$ 13.595,55;13814
20/11/16;Porta a Porta;Ellipsis;686;R$ 22.111,31;37225
20/11/16;Telégrafo;Mindscape;59;R$ 5.074,28;7892
21/11/16;Porta a Porta;Mindscape;508;R$ 19.312,00;57282
21/11/16;Porta a Porta;Arena;814;R$ 35.329,38;110426
21/11/16;TeleVenda;Ellipsis;114;R$ 7.355,46;7293
21/11/16;TeleVenda;Vast;949;R$ 18.460,14;47163
21/11/16;TeleVenda;Mindscape;54;R$ 3.655,49;6299
21/11/16;TeleVenda;Arena;1271;R$ 44.612,72;184403
21/11/16;Porta a Porta;Ellipsis;625;R$ 14.960,52;34546
21/11/16;Porta a Porta;Vast;862;R$ 18.788,05;43193
21/11/16;TeleVenda;Arena;92;R$ 6.208,87;13542
21/11/16;Telégrafo;Ellipsis;31;R$ 1.555,87;1733
21/11/16;TeleVenda;Mindscape;781;R$ 22.999,84;93451
21/11/16;Telégrafo;Vast;57;R$ 3.113,06;2670
21/11/16;TeleVenda;Vast;128;R$ 7.375,81;5723
21/11/16;Telégrafo;Mindscape;42;R$ 3.790,68;5338
21/11/16;TeleVenda;Ellipsis;805;R$ 17.001,36;45286
21/11/16;Telégrafo;Arena;105;R$ 8.687,40;14255
22/11/16;TeleVenda;Arena;985;R$ 33.999,93;138740
22/11/16;Porta a Porta;Arena;809;R$ 36.595,73;109069
22/11/16;Telégrafo;Mindscape;30;R$ 2.664,03;3524
22/11/16;TeleVenda;Mindscape;670;R$ 18.628,63;77040
22/11/16;Porta a Porta;Mindscape;583;R$ 20.979,06;66230
22/11/16;Telégrafo;Vast;49;R$ 1.592,06;2292
22/11/16;Porta a Porta;Ellipsis;782;R$ 18.741,54;41849
22/11/16;TeleVenda;Arena;86;R$ 5.609,69;12654
22/11/16;TeleVenda;Ellipsis;812;R$ 16.334,13;44330
22/11/16;TeleVenda;Vast;102;R$ 5.673,46;4669
22/11/16;Porta a Porta;Vast;996;R$ 21.297,24;47469
22/11/16;Telégrafo;Arena;55;R$ 4.871,79;8299
22/11/16;Telégrafo;Ellipsis;36;R$ 1.919,11;2026
22/11/16;TeleVenda;Mindscape;45;R$ 2.446,06;6153
22/11/16;TeleVenda;Vast;1002;R$ 19.296,58;48136
22/11/16;TeleVenda;Ellipsis;87;R$ 4.388,25;5537
23/11/16;Telégrafo;Arena;100;R$ 7.150,49;14436
23/11/16;TeleVenda;Vast;1925;R$ 61.856,49;89343
23/11/16;TeleVenda;Ellipsis;1469;R$ 45.838,71;81247
23/11/16;TeleVenda;Arena;1764;R$ 79.480,98;258234
23/11/16;Telégrafo;Ellipsis;52;R$ 3.004,10;3114
23/11/16;Porta a Porta;Arena;899;R$ 46.582,46;125382
23/11/16;Porta a Porta;Vast;1151;R$ 30.377,22;53576
23/11/16;TeleVenda;Vast;289;R$ 19.586,82;14311
23/11/16;TeleVenda;Ellipsis;250;R$ 15.553,13;14935
23/11/16;TeleVenda;Mindscape;1465;R$ 61.274,92;172953
23/11/16;Telégrafo;Mindscape;67;R$ 5.520,50;7975
23/11/16;TeleVenda;Mindscape;121;R$ 8.868,34;13329
23/11/16;Porta a Porta;Ellipsis;936;R$ 27.890,29;50266
23/11/16;TeleVenda;Arena;193;R$ 14.668,90;29017
23/11/16;Porta a Porta;Mindscape;724;R$ 29.110,90;81298
23/11/16;Telégrafo;Vast;52;R$ 2.197,88;2475
24/11/16;Porta a Porta;Mindscape;733;R$ 31.067,35;84740
24/11/16;Porta a Porta;Arena;803;R$ 42.232,50;114178
24/11/16;TeleVenda;Ellipsis;247;R$ 14.804,70;15757
24/11/16;TeleVenda;Ellipsis;1481;R$ 43.531,63;81592
24/11/16;TeleVenda;Mindscape;1508;R$ 63.652,66;178306
24/11/16;Telégrafo;Arena;91;R$ 6.471,55;12780
24/11/16;Telégrafo;Vast;54;R$ 3.157,81;2818
24/11/16;Telégrafo;Mindscape;67;R$ 5.188,02;8203
24/11/16;Porta a Porta;Vast;983;R$ 26.895,42;45721
24/11/16;TeleVenda;Arena;1735;R$ 77.362,28;257202
24/11/16;TeleVenda;Vast;1917;R$ 62.400,68;90324
24/11/16;TeleVenda;Vast;291;R$ 19.078,36;14445
24/11/16;TeleVenda;Mindscape;132;R$ 9.887,99;16186
24/11/16;Telégrafo;Ellipsis;34;R$ 1.845,84;1881
24/11/16;Porta a Porta;Ellipsis;786;R$ 25.069,95;43035
24/11/16;TeleVenda;Arena;188;R$ 14.979,44;29339
25/11/16;TeleVenda;Mindscape;1351;R$ 52.777,65;162440
25/11/16;TeleVenda;Mindscape;130;R$ 9.769,77;15440
25/11/16;Telégrafo;Mindscape;69;R$ 5.680,50;7986
25/11/16;TeleVenda;Ellipsis;1246;R$ 33.736,19;70488
25/11/16;Telégrafo;Arena;102;R$ 7.888,56;14114
25/11/16;Porta a Porta;Mindscape;774;R$ 30.417,24;87418
25/11/16;Telégrafo;Ellipsis;52;R$ 2.878,65;2951
25/11/16;TeleVenda;Vast;265;R$ 16.714,17;13224
25/11/16;Telégrafo;Vast;46;R$ 1.824,66;2154
25/11/16;TeleVenda;Arena;174;R$ 13.474,04;26539
25/11/16;TeleVenda;Ellipsis;252;R$ 15.416,20;15238
25/11/16;TeleVenda;Arena;1691;R$ 70.796,55;254160
25/11/16;Porta a Porta;Vast;1016;R$ 24.011,47;45839
25/11/16;Porta a Porta;Ellipsis;767;R$ 22.448,57;41688
25/11/16;TeleVenda;Vast;1460;R$ 41.126,50;69048
25/11/16;Porta a Porta;Arena;970;R$ 47.878,10;144350
26/11/16;Porta a Porta;Arena;827;R$ 42.740,28;120259
26/11/16;Telégrafo;Ellipsis;51;R$ 2.321,44;2916
26/11/16;Porta a Porta;Ellipsis;751;R$ 23.306,97;40795
26/11/16;Telégrafo;Mindscape;81;R$ 8.196,76;9524
26/11/16;TeleVenda;Vast;253;R$ 16.405,42;12429
26/11/16;TeleVenda;Arena;1784;R$ 78.317,57;265441
26/11/16;TeleVenda;Ellipsis;230;R$ 13.345,09;14332
26/11/16;TeleVenda;Mindscape;1383;R$ 56.004,97;164653
26/11/16;TeleVenda;Mindscape;124;R$ 9.221,68;15641
26/11/16;TeleVenda;Ellipsis;1329;R$ 41.207,93;74510
26/11/16;Telégrafo;Arena;105;R$ 6.151,45;14264
